N;M;Insert Sort;Insert Sort with Binary Search
1000;10;11.214209;1.355375
1000;50;12.296125;2.560791
1000;50;12.292833;2.561209
1000;50;11.562458;2.428583
1000;50;12.210750;2.533291
1000;50;12.286042;2.542500
1000;50;11.997666;2.491917
1000;50;11.601291;2.416167
1000;50;11.825083;2.460333
1000;50;12.380708;2.569375
1000;50;12.186291;2.555500
1000;100;11.760500;2.189208
1000;100;12.073250;2.245000
1000;100;12.898667;2.361583
1000;100;12.196791;2.222000
1000;100;12.075625;2.227167
1000;100;11.923458;2.191916
1000;100;12.254291;2.235375
1000;100;12.225625;2.236541
1000;100;11.936750;2.205917
1000;100;11.678917;2.145792
1000;200;13.290125;2.880875
1000;200;13.068708;2.896167
1000;200;13.251209;2.940333
1000;200;12.379375;2.764834
1000;200;13.268917;2.950917
1000;200;13.397583;2.955000
1000;200;12.844791;2.842958
1000;200;12.890833;2.887542
1000;200;12.860667;2.868958
1000;200;13.018417;3.026958
1000;300;14.127750;4.107125
1000;300;13.322000;3.908083
1000;300;13.365708;4.048958
1000;300;13.771291;4.029875
1000;300;13.810375;4.008750
1000;300;13.843250;4.074667
1000;300;13.041083;3.817833
